id,file_name,source_path,jurisdiction,court,title,relevant_law,gdpr_articles,decided,published,fine,fine_amount,fine_currency,parties,national_case_number_name,european_case_law_identifier,appeal_from,appeal_to,original_languages,original_source
DE_290,MT_VG_Gelsenkirchen_-_20_K_6392_18.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_VG_Gelsenkirchen_-_20_K_6392_18.md,Germany,VG Gelsenkirchen (Germany),VG Gelsenkirchen - 20 K 6392/18,Article 12(5) GDPRArticle 15(3) GDPR,"12,15",27/04/2020,,,,,Judicial Examination Office of the State North-Rhine Westphalia,20 K 6392/18,ECLI:DE:VGGE:2020:0427.20K6392.18.00,,,German,NRW Entscheidungen (in German)
DE_291,MT_VG_Gießen_-_4_K_252_19.GI.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_VG_Gießen_-_4_K_252_19.GI.md,Germany,VG Gießen (Germany),VG Gießen - 4 K 252/19.GI,Article 4(10) GDPRArticle 15(1) GDPR§80 Data Protection Law of Hessen (Hessisches Datenschutz- und Informationsfreiheitsgesetz)§2a(5) German Tax Law (Abgabenordnung),"4,15",23/10/2019,,,,,Anonymous,4 K 252/19.GI,ECLI:DE:VGGIESS:2019:1023.4K252.19.GI.00,,,German,LaReDa Hessenrecht (in German)
DE_292,MT_VG_Hamburg_-_17_K_3920_19.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_VG_Hamburg_-_17_K_3920_19.md,Germany,VG Hamburg (Germany),VG Hamburg - 17 K 3920/19,Article 6(1)(c) GDPRArticle 6(1)(e) GDPR,,16/01/2020,,,,,anonymous,17 K 3920/19,,,,German,OpenJur (in German)
DE_293,MT_VG_Hamburg_-_21_K_1802_21.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_VG_Hamburg_-_21_K_1802_21.md,Germany,VG Hamburg (Germany),VG Hamburg - 21 K 1802/21,Article 4(1) GDPRArticle 9(1) GDPRArticle 9(2)(g) GDPRArticle 9(2)(h) GDPRArticle 9(2)(i) GDPRArticle 9(2)(j) GDPRArticle 9(2) GDPRArticle 15 GDPRArticle 15(1)(c) GDPRArticle 15(3) GDPRArticle 17(1) GDPRArticle 17(1)(d) GDPR12(3) HmbKrebsRGSection 2 (1) No. 4 HmbKrebsRGSection 2 HmbKrebsRGSection 2(3) HmbKrebsRGSection 3(1) HmbKrebsRGSection 5 HmbKrebsRGSection 6 HmbKrebsRGSection 7(1) HmbKrebsRG,"4,9,15,17",28/07/2022,,,,,Hamburgische Krebsregister (Hamburg Cancer Registry),21 K 1802/21,ECLI:DE:VGHH:2022:0728.21K1802.21.00,,Unknown,German,Landesrecht Hamburg (in German)
DE_294,MT_VG_Hannover_-_10_A_1443_19.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_VG_Hannover_-_10_A_1443_19.md,Germany,VG Hannover (Germany),VG Hannover - 10 A 1443/19,Article 6(1)(f) GDPRArticle 58(2)(f) GDPR§ 4 BDSG,,13/03/2023,,,,,Data Protection Authority of Lower Saxony,10 A 1443/19,ECLI:DE:VGHANNO:2023:0313.10A1443.19.00,,Unknown,German,Niedersächsisches Vorschrifteninformationssystem (NI-VORIS) (in German)
DE_295,MT_VG_Hannover_-_10_A_502_19.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_VG_Hannover_-_10_A_502_19.md,Germany,VG Hannover (Germany),VG Hannover - 10 A 502/19,Article 5(1)(a) GDPRArticle 5(1)(c) GDPRArticle 6(1)(b) GDPRArticle 6(1)(c) GDPRArticle 6(1)(f) GDPR,,09/11/2021,,,,,Online PharmacyData Protection Authority of Lower Saxony,10 A 502/19,VGHANNO:2021:1109.10A502.19.00,LfD (Lower Saxony),Unknown,German,Niedersächsisches Landesjustizportal (in German)
DE_296,MT_VG_Hannover_-_10_A_5385_22.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_VG_Hannover_-_10_A_5385_22.md,Germany,VG Hannover (Germany),VG Hannover - 10 A 5385/22,Article 4(11) GDPRArticle 6(1) GDPRArticle 6(1)(a) GDPRArticle 7 GDPRArticle 58(2)(d) GDPRNDSGTTDSG,"4,6,7",19/03/2025,,,,,,10 A 5385/22,,,Unknown,German,Wolters Kluwer (in German)
DE_297,MT_VG_Karlsruhe_-_7_K_2578_22.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_VG_Karlsruhe_-_7_K_2578_22.md,Germany,VG Karlsruhe (Germany),VG Karlsruhe - 7 K 2578/22,Article 15(1) GDPRArticle 15(3) GDPR,15,19/10/2023,,,,,,7 K 2578/22,,,,German,openjur.de (in German)
DE_298,MT_VG_Köln_-_13_K_1419_23.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_VG_Köln_-_13_K_1419_23.md,Germany,VG Köln (Germany),VG Köln - 13 K 1419/23,Article 4(7) GDPR,4,22/07/2025,,,,,Meta Platforms Inc.Press and Information Office of the Federal Government of Germany,13 K 1419/23,,Federal Commissioner for Data Protection and Freedom of InformationNotice of 17.02.2023,Unknown,German,VG Köln (in German)
DE_299,MT_VG_Köln_-_13_L_1707_21.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_VG_Köln_-_13_L_1707_21.md,Germany,VG Köln (Germany),VG Köln - 13 L 1707/21,Article 4(2) GDPRArticle 58(2) GDPR,"4,58",10/11/2021,,,,,Bundesbeauftragter für den Datenschutz und die Informationsfreiheit (Germany)Job Centre in the district of Diepholz,13 L 1707/21,,,Unknown,German,NRW-Justiz (in German)
